sveitarfelag,stodugildi_total,ar,stodugildi_skola_kenn,stodugildi_skola_kenn_an_rettinda,stodugildi_skola,stodugildi_leiksk_kenn,stodugildi_leiksk_onnur_mennt,stodugildi_leikskola,stodugildi_annad
Reykjavíkurborg,7868.839599999999,2018,1362.3999999999999,55.50000000000001,2120.8,400.45999908447266,296.14000177383423,1463.4699991941452,4284.569600805854
Kópavogsbær,1930.5200000000002,2018,455.09999999999997,29.4,678.1999999999999,180.30999898910522,65.34000051021576,551.8499997854233,700.4700002145769
Seltjarnarnesbær,241.94529999999997,2018,48.6,7.7,87.2,18.799999237060547,12.649999618530273,58.369998931884766,96.37530106811522
Garðabær,705.4000000000001,2018,196.10000000000002,4.4,308.1,40.079999923706055,51.060000002384186,149.3300011754036,247.96999882459647
Hafnarfjarðarkaupstaður,1469.4,2018,359.4,46.699999999999996,556.1999999999999,95.47000074386597,59.50000065565109,438.47000426054,474.72999573946015
Mosfellsbær,534.4813000000001,2018,149.1,7.8,244.70000000000002,40.730000495910645,30.33000037819147,141.55999920517206,148.22130079482804
Reykjanesbær,782.52,2018,191.39999999999998,41.20000000000001,343.09999999999997,44.820000648498535,31.80000066757202,154.1900007724762,285.2299992275238
Grindavíkurbær,181.27960000000002,2018,40.5,5.9,69,4.510000228881836,2.799999952316284,26.81000018119812,85.4695998188019
Sveitarfélagið Vogar,78.38,2018,18.2,5.8,40.8,7.510000228881836,2,18.010000228881836,19.569999771118162
Akraneskaupstaður,416.12,2018,100.2,1.8,154.5,47.95000076293945,12.460000276565552,99.01000094413757,162.60999905586243
Hvalfjarðarsveit,48.3,2018,15.2,1,25.799999999999997,2.8299999237060547,2.380000114440918,11.039999961853027,11.460000038146973
Borgarbyggð,270.75,2018,55.400000000000006,6.2,100.4,21.450000047683716,5.289999902248383,58.21999949216843,112.13000050783157
Grundarfjarðarbær,57.8,2018,12,0.1,19.2,1.75,4,16.75,21.849999999999994
Stykkishólmsbær,109.13,2018,19.6,1,34.400000000000006,3.740000009536743,4.159999847412109,20.490000009536743,54.23999999046325
Snæfellsbær,148.76000000000002,2018,31.3,2.3,55.900000000000006,6.28000020980835,8.800000190734863,27.03000020980835,65.82999979019166
Dalabyggð,55.1,2018,10.9,2.3,20.1,1,2.299999952316284,8.299999952316284,26.700000047683716
Bolungarvíkurkaupstaður,69.10999999999999,2018,16.7,0.5,30.5,2.75,2.3399999141693115,15.640000104904175,22.96999989509581
Ísafjarðarbær,272.4,2018,43.7,10.6,79.10000000000001,19.40000009536743,19.710000038146973,61.890000224113464,131.4099997758865
Reykhólahreppur,41.54222893497952,2018,5.7,1.7,12.600000000000001,1.7999999523162842,0.25,5.1499998569488525,23.792229078030665
Vesturbyggð,82.4,2018,12.399999999999999,10,30.5,4,2.4000000953674316,18.510000348091125,33.38999965190888
Súðavíkurhreppur,15.59,2018,2.9,3,7.2,0.25,2.25,2.5,5.890000000000001
Strandabyggð,41.7923,2018,7,1.5,15.3,2,2,9,17.492299999999997
Sveitarfélagið Skagafjörður,339.65,2018,66.9,0.4,112.80000000000001,26.669999599456787,6.450000047683716,65.04999899864197,161.800001001358
Húnaþing vestra,78.16,2018,18.3,0,30.6,3.630000114440918,0.17000000178813934,13.10000030696392,34.459999693036075
Sveitarfélagið Skagaströnd,28.950000000000003,2018,11.5,1.1,18.1,1,2,7.400000095367432,3.44999990463257
Norðurþing,221.73000000000002,2018,37.4,4.4,64.9,12.279999732971191,4.950000107288361,44.08999973535538,112.74000026464464
Fjallabyggð,156.19299999999998,2018,24.4,0.8,42.4,9.65999984741211,5.78000020980835,37.31999921798706,76.47300078201292
Dalvíkurbyggð,131.38250000000002,2018,27.3,1.5,44.400000000000006,13.149999618530273,7.460000038146973,32.339999198913574,54.64250080108644
Eyjafjarðarsveit,62.260000000000005,2018,20.8,0.2,29.7,5.96999979019165,0.8100000023841858,15.619999945163727,16.940000054836275
Hörgársveit,35,2018,9.3,1.8,16.1,5.889999866485596,0,9.349999904632568,9.55000009536743
Grýtubakkahreppur,32.9944,2018,7.6,0.5,9.5,2,0.75,5.900000095367432,17.594399904632567
Skútustaðahreppur,27.3,2018,6,0,10.2,1.809999942779541,0,8.059999942779541,9.04000005722046
Þingeyjarsveit,70.4,2018,18.700000000000003,1.3,36.10000000000001,3.8600000143051147,2.100000023841858,11.820000171661377,22.47999982833862
Langanesbyggð,49.3,2018,6.8,4.8,17.4,2.690000057220459,2,7.25,24.65
Seyðisfjarðarkaupstaður,48.725300000000004,2018,10.8,0.5,14.8,2,0.33000001311302185,11.939999669790268,21.98530033020974
Fjarðabyggð,362.8,2018,70,10.6,113.5,19.18000018596649,11.000000096857548,103.23000011593103,146.06999988406898
Vopnafjarðarhreppur,68.32,2018,9.6,1.7,21.299999999999997,5.269999980926514,0,8.129999876022339,38.89000012397766
Borgarfjarðarhreppur,9,2018,0.8,1,2.7,0,0.25,1.3799999952316284,4.920000004768371
Breiðdalshreppur,15.700000000000001,2018,1.7,2.3,5.6,0,1.8799999952316284,2.8799999952316284,7.220000004768373
Fljótsdalshérað,259.34999999999997,2018,56,4.6,90.9,17.999999940395355,11.700000002980232,67.55000014603138,100.89999985396858
Sveitarfélagið Hornafjörður,144.41000000000003,2018,26.8,8.799999999999999,52.7,2,6,32.02000045776367,59.68999954223635
Vestmannaeyjabær,260.8,2018,55,2,86.1,5.579999923706055,7.119999885559082,33.179999351501465,141.52000064849855
Sveitarfélagið Árborg,578.85,2018,135.9,8.2,225,46.37999963760376,26.600000381469727,153.7699999809265,200.0800000190735
Mýrdalshreppur,46.6534,2018,7.7,1.2,13,0,2,5.900000095367432,27.753399904632566
Skaftárhreppur,29.3,2018,7.9,0,11.5,1,2,6.309999942779541,11.49000005722046
Rangárþing eystra,104.33999999999999,2018,30.7,1.5,50.6,4.119999885559082,1.7000000476837158,26.049999475479126,27.690000524520862
Hrunamannahreppur,66.7,2018,16,0,24.3,2.7799999713897705,1.5299999713897705,14.429999828338623,27.970000171661383
Hveragerðisbær,175.90800000000002,2018,37.6,0.7,58.7,11.610000133514404,12.130000114440918,51.019999980926514,66.1880000190735
Reykjavíkurborg,8095.1,2019,1353.8644999999997,112.63519999999997,2216.6637,372.4600009918213,289.8299989104271,1453.879999101162,4424.556300898838
Kópavogsbær,1974.8,2019,447.2736,50.9631,732.8104000000001,165.24000120162964,61.549999594688416,515.1299990415573,726.8596009584426
Seltjarnarnesbær,269.6,2019,56.3484,2.9757,83.8288,23.299999237060547,0.75,76.14999771118164,109.62120228881838
Garðabær,736.9000000000001,2019,194.4848,9.1019,319.9579,43.46999955177307,7.139999896287918,165.660000115633,251.28209988436708
Hafnarfjarðarkaupstaður,1521,2019,367.7018,69.852,606.3181000000001,125.98000073432922,64.63000023365021,449.0100053548813,465.67189464511864
Mosfellsbær,572.8,2019,145.2724,27.1722,262.1888,36.760000228881836,32.91999942064285,154.54000121355057,156.07119878644937
Reykjanesbær,831.52,2019,186.2472,63.7827,365.2909,50.65999889373779,24.789999663829803,151.33999913930893,314.88910086069103
Grindavíkurbær,177.425,2019,41.07,10,71.4,6.230000019073486,4.800000190734863,26.250000476837158,79.77499952316285
