sveitarfelag,ar,mannfjoldi,mannfjoldi_leiksk,mannfjoldi_skol
Reykjavíkurborg,1998,107341,10239,19315
Reykjavíkurborg,1999,108484,10059,19404
Reykjavíkurborg,2000,109887,9954,19575
Reykjavíkurborg,2001,111544,9965,19778
Reykjavíkurborg,2002,112411,9883,19681
Reykjavíkurborg,2003,112554,9634,19628
Reykjavíkurborg,2004,113288,9632,19691
Reykjavíkurborg,2005,113848,9586,19798
Reykjavíkurborg,2006,114968,9631,19842
Reykjavíkurborg,2007,116642,9572,19817
Reykjavíkurborg,2008,118827,9572,19606
Reykjavíkurborg,2009,119547,9825,19359
Reykjavíkurborg,2010,118326,10082,18900
Reykjavíkurborg,2011,118898,10258,18778
Reykjavíkurborg,2012,118814,10140,18528
Reykjavíkurborg,2013,119764,10308,18507
Reykjavíkurborg,2014,121230,10299,18704
Reykjavíkurborg,2015,121822,10121,18772
Reykjavíkurborg,2016,122460,9713,18905
Reykjavíkurborg,2017,123246,9353,19109
Reykjavíkurborg,2018,126041,9103,19226
Reykjavíkurborg,2019,128793,8911,19409
Reykjavíkurborg,2020,131136,8903,19562
Reykjavíkurborg,2021,133262,9033,19876
Reykjavíkurborg,2022,135688,9234,19991
Reykjavíkurborg,2023,139875,9337,20500
Kópavogsbær,1998,19867,1984,4021
Kópavogsbær,1999,21508,2194,4255
Kópavogsbær,2000,22693,2258,4463
Kópavogsbær,2001,23647,2315,4617
Kópavogsbær,2002,24291,2292,4682
Kópavogsbær,2003,25016,2368,4746
Kópavogsbær,2004,25352,2378,4827
Kópavogsbær,2005,25803,2396,4951
Kópavogsbær,2006,26512,2417,5076
Kópavogsbær,2007,27525,2522,5158
Kópavogsbær,2008,28885,2644,5245
Kópavogsbær,2009,29976,2813,5368
Kópavogsbær,2010,30357,2988,5428
Kópavogsbær,2011,30779,3033,5538
Kópavogsbær,2012,31205,3035,5652
Kópavogsbær,2013,31726,3078,5702
Kópavogsbær,2014,32308,3087,5803
Kópavogsbær,2015,33205,3043,5956
Kópavogsbær,2016,34140,2943,6146
Kópavogsbær,2017,35246,2890,6333
Kópavogsbær,2018,35970,2812,6371
Kópavogsbær,2019,36975,2759,6445
Kópavogsbær,2020,37959,2750,6519
Kópavogsbær,2021,38332,2830,6589
Kópavogsbær,2022,38998,2891,6643
Kópavogsbær,2023,39810,2889,6705
Seltjarnarnesbær,1998,4602,400,976
Seltjarnarnesbær,1999,4698,393,978
Seltjarnarnesbær,2000,4665,349,997
Seltjarnarnesbær,2001,4673,333,1000
Seltjarnarnesbær,2002,4659,339,971
Seltjarnarnesbær,2003,4608,313,1011
Seltjarnarnesbær,2004,4577,299,1010
Seltjarnarnesbær,2005,4548,301,990
Seltjarnarnesbær,2006,4471,278,957
Seltjarnarnesbær,2007,4471,290,943
Seltjarnarnesbær,2008,4454,296,897
Seltjarnarnesbær,2009,4403,275,852
Seltjarnarnesbær,2010,4395,269,831
Seltjarnarnesbær,2011,4320,265,798
Seltjarnarnesbær,2012,4313,267,774
Seltjarnarnesbær,2013,4322,273,748
Seltjarnarnesbær,2014,4381,297,751
Seltjarnarnesbær,2015,4411,279,765
Seltjarnarnesbær,2016,4415,288,716
Seltjarnarnesbær,2017,4450,293,738
Seltjarnarnesbær,2018,4575,330,740
Seltjarnarnesbær,2019,4664,348,774
Seltjarnarnesbær,2020,4726,348,784
Seltjarnarnesbær,2021,4715,348,798
Seltjarnarnesbær,2022,4720,342,821
Seltjarnarnesbær,2023,4674,336,806
Garðabær,1998,9216,804,2125
Garðabær,1999,9316,811,2094
Garðabær,2000,9378,776,2115
Garðabær,2001,9611,761,2127
Garðabær,2002,10213,811,2237
Garðabær,2003,10475,838,2295
Garðabær,2004,10764,863,2366
Garðabær,2005,11085,937,2393
Garðabær,2006,11649,1029,2494
Garðabær,2007,11832,1031,2468
Garðabær,2008,12360,1044,2521
Garðabær,2009,12876,1092,2582
Garðabær,2010,13166,1134,2603
Garðabær,2011,13393,1179,2643
Garðabær,2012,13702,1197,2687
Garðabær,2013,13872,1190,2686
Garðabær,2014,14180,1211,2718
Garðabær,2015,14453,1199,2798
Garðabær,2016,14717,1148,2878
Garðabær,2017,15230,1093,3023
Garðabær,2018,15709,1097,3093
Garðabær,2019,16299,1178,3146
Garðabær,2020,16924,1262,3196
Garðabær,2021,17693,1366,3256
Garðabær,2022,18445,1542,3295
Garðabær,2023,18891,1612,3310
Hafnarfjarðarkaupstaður,1998,18196,1945,4157
Hafnarfjarðarkaupstaður,1999,18656,1980,4203
Hafnarfjarðarkaupstaður,2000,19158,1939,4315
Hafnarfjarðarkaupstaður,2001,19688,1976,4419
Hafnarfjarðarkaupstaður,2002,20264,1997,4522
Hafnarfjarðarkaupstaður,2003,20720,1982,4579
Hafnarfjarðarkaupstaður,2004,21207,2018,4641
Hafnarfjarðarkaupstaður,2005,22000,2151,4747
Hafnarfjarðarkaupstaður,2006,22498,2181,4815
Hafnarfjarðarkaupstaður,2007,23751,2251,5054
Hafnarfjarðarkaupstaður,2008,25036,2369,5098
Hafnarfjarðarkaupstaður,2009,25850,2522,5105
Hafnarfjarðarkaupstaður,2010,25913,2546,5068
Hafnarfjarðarkaupstaður,2011,26099,2569,5092
Hafnarfjarðarkaupstaður,2012,26486,2640,5123
Hafnarfjarðarkaupstaður,2013,26808,2598,5144
Hafnarfjarðarkaupstaður,2014,27357,2594,5189
Hafnarfjarðarkaupstaður,2015,27875,2558,5255
Hafnarfjarðarkaupstaður,2016,28189,2413,5341
Hafnarfjarðarkaupstaður,2017,28703,2331,5432
Hafnarfjarðarkaupstaður,2018,29412,2320,5488
Hafnarfjarðarkaupstaður,2019,29799,2263,5539
Hafnarfjarðarkaupstaður,2020,29971,2215,5524
